Owner_info,bhk_info,area_info,location_info,cons_info,prince_in_cr_info,price_sq_ft
BUILDER,Residential Plot,2325 ,Koramangala,New,59.86 L,"2,574 / sq ft"
BUILDER,3,1405 ,Whitefield Hope Farm Junction,Ready to move,87.28 L,"6,212 / sq ft"
BUILDER,3,1562 ,Hosa Road,Under Construction,87.36 L,"5,593 / sq ft"
BUILDER,3,1200 ,Electronic City Phase 1,Under Construction,36 L,"3,000 / sq ft"
BUILDER,3,1437 ,Jalahalli,Under Construction,88.56 L,"6,162 / sq ft"
BUILDER,3,1975 ,JP Nagar Phase 7,Ready to move,2.11 Cr,"10,734 / sq ft"
BUILDER,Residential Plot,835 ,Anekal City,New,15 L,"1,797 / sq ft"
BUILDER,2,820 ,Chandapura,Ready to move,32.49 L,"3,962 / sq ft"
BUILDER,3,894 ,Harlur,Under Construction,68.39 L,"7,650 / sq ft"
BUILDER,3,973 ,Whitefield Hope Farm Junction,Under Construction,42.81 L,"4,400 / sq ft"
BUILDER,4,3000 ,Narayanaghatta,Under Construction,1.87 Cr,"6,250 / sq ft"
BUILDER,4,3880 ,Hebbal,Ready to move,3.9 Cr,"10,058 / sq ft"
BUILDER,2,1131 ,Kengeri,Ready to move,65.59 L,"5,799 / sq ft"
BUILDER,3,1538 ,Avalahalli Off Sarjapur Road,Ready to move,80.3 L,"5,221 / sq ft"
BUILDER,3,1833 ,Krishnarajapura,Under Construction,1.28 Cr,"7,000 / sq ft"
BUILDER,1,739 ,Brookefield,Under Construction,50.44 L,"6,826 / sq ft"
BUILDER,2,1238 ,Whitefield Hope Farm Junction,Under Construction,75.84 L,"6,126 / sq ft"
BUILDER,4,3197 ,Sarjapur Road Post Railway Crossing,Under Construction,2.56 Cr,"8,024 / sq ft"
BUILDER,2,1100 ,Kengeri,Under Construction,51.92 L,"4,720 / sq ft"
BUILDER,2,835 ,Jakkur,Under Construction,71.48 L,"8,560 / sq ft"
BUILDER,3,1410 ,Attibele,Under Construction,63.32 L,"4,491 / sq ft"
BUILDER,3,2000 ,Sarjapur,Under Construction,1.18 Cr,"5,900 / sq ft"
BUILDER,3,2350 ,Kogilu,Ready to move,1.52 Cr,"6,500 / sq ft"
BUILDER,3,2150 ,Krishnarajapura,Under Construction,1.41 Cr,"6,558 / sq ft"
BUILDER,2,1178 ,Budigere Cross,Under Construction,69.52 L,"5,902 / sq ft"
BUILDER,3,1605 ,Krishnarajapura,Under Construction,1.05 Cr,"6,600 / sq ft"
BUILDER,3,1470 ,Kannamangala,Under Construction,80.85 L,"5,500 / sq ft"
BUILDER,Residential Plot,2750 ,Bagalur,New,31.81 L,"1,157 / sq ft"
BUILDER,3,1605 ,Jalahalli,Under Construction,1.13 Cr,"7,093 / sq ft"
BUILDER,2,1113 ,Ramamurthy Nagar,Under Construction,57.87 L,"5,200 / sq ft"
BUILDER,2,1320 ,Yelahanka,Under Construction,61.91 L,"4,690 / sq ft"
BUILDER,Residential Plot,4000 ,Marsur,New,1.44 Cr,"3,622 / sq ft"
BUILDER,3,1769 ,Anjanapura,Under Construction,91.39 L,"5,166 / sq ft"
BUILDER,3,1711 ,Kadugodi,Ready to move,80.39 L,"4,698 / sq ft"
BUILDER,3,1440 ,Electronic City Phase 1,Ready to move,83.62 L,"5,806 / sq ft"
BUILDER,2,800 ,Anekal City,Under Construction,39.5 L,"4,937 / sq ft"
BUILDER,3,1440 ,Kengeri,Ready to move,74.88 L,"5,200 / sq ft"
BUILDER,3,1706 ,Marathahalli,Ready to move,1.34 Cr,"7,900 / sq ft"
BUILDER,2,1310 ,Bagaluru Near Yelahanka,Under Construction,68.38 L,"5,220 / sq ft"
BUILDER,2,1110 ,Varthur,Under Construction,58.83 L,"5,300 / sq ft"
BUILDER,3,1585 ,Seshadripuram,Ready to move,1 Cr,"6,309 / sq ft"
BUILDER,3,1430 ,Marathahalli,Under Construction,75.37 L,"5,270 / sq ft"
BUILDER,Residential Plot,1453 ,Koramangala,New,37.96 L,"2,613 / sq ft"
BUILDER,3,1540 ,Whitefield Hope Farm Junction,Ready to move,98.05 L,"6,366 / sq ft"
BUILDER,3,1726 ,Hosa Road,Under Construction,96.03 L,"5,564 / sq ft"
BUILDER,3,1203 ,Electronic City Phase 1,Under Construction,36.09 L,"3,000 / sq ft"
BUILDER,3,1442 ,Jalahalli,Under Construction,85.83 L,"5,952 / sq ft"
BUILDER,3,2289 ,JP Nagar Phase 7,Ready to move,2.45 Cr,"10,734 / sq ft"
BUILDER,4,4387 ,Harlur,Ready to move,3.47 Cr,"7,929 / sq ft"
BUILDER,3,2690 ,Chandapura,Under Construction,1.26 Cr,"4,696 / sq ft"
BUILDER,3,877 ,Harlur,Under Construction,67.09 L,"7,650 / sq ft"
BUILDER,1,423 ,Whitefield Hope Farm Junction,Under Construction,18.61 L,"4,400 / sq ft"
BUILDER,4,2469 ,Narayanaghatta,Under Construction,1.54 Cr,"6,250 / sq ft"
BUILDER,4,3335 ,Hebbal,Ready to move,3.36 Cr,"10,104 / sq ft"
BUILDER,2,1050 ,Thanisandra,Ready to move,68.23 L,"6,498 / sq ft"
BUILDER,2,1145 ,Avalahalli Off Sarjapur Road,Ready to move,61.52 L,"5,373 / sq ft"
BUILDER,3,1883 ,Krishnarajapura,Under Construction,1.31 Cr,"7,000 / sq ft"
BUILDER,3,1640 ,Brookefield,Under Construction,1.05 Cr,"6,419 / sq ft"
BUILDER,2,1172 ,Whitefield Hope Farm Junction,Under Construction,72.21 L,"6,161 / sq ft"
BUILDER,3,1569 ,Sarjapur Road Post Railway Crossing,Under Construction,1.11 Cr,"7,085 / sq ft"
